farm,event_id,event_label,event_start,event_start_id,event_end,event_end_id,event_description,component_primary,component_secondary,tag_confidence,tag_notes,additional_systems_mentioned,needs_manual_review
A,71,normal,2019-01-01 00:00:00,52439,2019-01-15 00:00:00,54455,,Unclassified / No Description,,no_description,,,False
A,14,normal,2022-03-04 14:00:00,52584,2022-03-11 18:40:00,53620,,Unclassified / No Description,,no_description,,,False
A,92,normal,2020-04-04 02:30:00,52437,2020-04-13 10:00:00,53778,,Unclassified / No Description,,no_description,,,False
A,51,normal,2015-10-07 01:30:00,52331,2015-10-18 16:10:00,54003,,Unclassified / No Description,,no_description,,,False
B,34,anomaly,2019-08-25 00:00:00,52531,2019-09-16 00:00:00,55699,high temperature,Cooling System,,curated,Resolved via manual review. Generic high temperature alarms without specific component markers are assigned to the Cooling System.,,False
B,7,anomaly,2026-06-30 00:00:00,52703,2026-07-31 00:00:00,57167,high temperature,Cooling System,,curated,Resolved via manual review. Generic high temperature alarms without specific component markers are assigned to the Cooling System.,,False
B,53,anomaly,2019-12-27 16:40:00,52559,2020-02-07 16:30:00,58606,Rotor Bearing 2 - Damage,Main/Rotor Bearing,,curated,Explicit.,,False
B,27,anomaly,2018-09-02 00:00:00,52619,2018-11-02 00:00:00,61403,Turbine is stopped due to a main bearing damage,Main/Rotor Bearing,,curated,Explicit.,,False
B,19,anomaly,2025-02-02 00:00:00,52673,2025-02-22 00:00:00,55553,high temperature,Cooling System,,curated,Resolved via manual review. Generic high temperature alarms without specific component markers are assigned to the Cooling System.,,False
B,77,anomaly,2019-06-02 00:00:00,52991,2019-08-01 00:00:00,61631,Turbine is in standstill since 01.08 due to rotorbearing damage.,Main/Rotor Bearing,,curated,Explicit ('rotorbearing').,,False
B,83,normal,2026-06-30 00:00:00,52329,2026-09-29 00:00:00,65433,,Unclassified / No Description,,no_description,,,False
B,52,normal,2027-07-13 00:00:00,52675,2027-07-27 00:00:00,54691,,Unclassified / No Description,,no_description,,,False
B,21,normal,2020-09-22 20:10:00,52217,2020-10-01 20:10:00,53513,,Unclassified / No Description,,no_description,,,False
B,2,normal,2026-08-08 19:20:00,52703,2026-08-22 04:20:00,54629,,Unclassified / No Description,,no_description,,,False
B,23,normal,2026-09-16 17:30:00,52559,2026-09-26 11:50:00,53965,,Unclassified / No Description,,no_description,,,False
B,87,normal,2028-09-12 23:00:00,52475,2028-09-28 23:00:00,54779,,Unclassified / No Description,,no_description,,,False
B,74,normal,2028-01-02 23:00:00,52817,2028-01-16 07:00:00,54737,,Unclassified / No Description,,no_description,,,False
B,86,normal,2026-04-27 17:30:00,52703,2026-05-11 01:10:00,54621,,Unclassified / No Description,,no_description,,,False
B,82,normal,2028-09-24 23:00:00,52975,2028-10-06 23:00:00,54703,,Unclassified / No Description,,no_description,,,False
C,55,anomaly,2018-10-29 11:30:00,52848,2018-11-15 15:30:00,55320,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,Pitch System,Electrical Safety System,curated,"'Wiring blade control system' is pitch/blade-control wiring (Pitch System taxonomy explicitly covers control cards). Harting plug damage is a general electrical connector fault feeding that same wiring run — tagged secondary rather than primary since it is the connector, not the control function, that's named second.",,False
C,81,anomaly,2019-11-17 01:30:00,52704,2019-11-19 14:00:00,53067,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",Converter,,curated,"Explicit 'Converter Failure' + fuse/filter matches the Converter taxonomy entry exactly ('Power electronics, fuses/filters').",,False
C,47,anomaly,2018-12-23 15:00:00,52416,2018-12-28 13:40:00,53128,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",Mechanical Brake,Hydraulic System,curated,"Near-identical to Section 1.4's own worked example ('Rotor brake fails to release, hydraulic pressure low' -> Mechanical Brake / Hydraulic System). Brake is the safety-relevant primary; hydraulic pump is the shared support system secondary.",,False
C,12,anomaly,2025-06-25 00:00:00,52560,2025-07-17 15:00:00,55818,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",Mechanical Brake,Gearbox,curated,"Three systems named (gearbox oil, brake, yaw brush). 'Rotor brake B cannot be closed' is the most safety-critical element (brake fails to actuate) -> primary. Gearbox oil issue -> secondary. Yaw carbon brush recorded under additional_systems_mentioned.",Yaw System,False
C,4,anomaly,2026-07-29 10:00:00,52992,2026-08-17 10:00:00,55728,23020 : Axis 3 not ready-to-operate,Pitch System,,curated,'Axis 3' = pitch axis 3 (one axis per blade).,,False
C,18,anomaly,2025-09-12 00:00:00,51408,2025-09-15 23:50:00,51983,We had some failures (störung 24VAC Versorgung Rotorbremse) on the 16th in the afternoon. From 17th onwards a longer standstill where we don't know the root cause to. ,Mechanical Brake,,curated,"German: 'störung 24VAC Versorgung Rotorbremse' = fault, 24VAC supply, rotor brake. The follow-on standstill has an explicitly unknown root cause per the operator's own note — flagged in notes, not force-tagged to a second component.",,False
C,28,anomaly,2023-05-27 13:00:00,52704,2023-06-16 20:30:00,55629,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,Grounding/Lightning Protection,Hydraulic System,curated,"Spinner carbon brush = rotating grounding brush, matching the Grounding/Lightning Protection taxonomy entry verbatim ('grounding brushes'). Hydraulic accumulators -> secondary.",,False
C,39,anomaly,2022-10-18 13:00:00,52848,2022-10-23 15:20:00,53582,15004 : Safety chain relay open + 93005 : Gear oil cooler bypass valve,Electrical Safety System,Gearbox,curated,Safety chain relay open is a safety-critical trip -> primary (matches taxonomy verbatim: 'Safety chain relay'). Gear oil cooler bypass valve -> secondary.,,False
C,66,anomaly,2029-01-15 00:00:00,51696,2029-01-21 13:00:00,52638,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",Pitch System,,curated,"Explicit 'Pitchfailure', pitch control card, pitch axis, pitch backup batteries all named.",,False
C,15,anomaly,2019-02-07 00:00:00,51984,2019-02-24 00:00:00,54432,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),Pitch System,,curated,Explicit pitch encoder defect.,,False
C,78,anomaly,2022-07-29 13:00:00,52560,2022-07-31 14:30:00,52857,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,Grounding/Lightning Protection,Mechanical Brake,curated,"Grounding contact mounted on the brake disc + a lightning cover on the main cabinet/hub — both terms are grounding/lightning vocabulary, so tagged primary; Mechanical Brake recorded as secondary since the brake disc is the physical component the grounding contact rides on (not itself reported as malfunctioning).",,False
C,79,anomaly,2025-07-24 09:00:00,52704,2025-07-26 09:00:00,52992,Communication fault BK1120 in NC300,SCADA/Communication,,curated,"BK1120 = Beckhoff fieldbus (Bus Klemme) coupler; NC300 = turbine controller platform. Fieldbus/communication fault, matches taxonomy verbatim.",,False
C,30,anomaly,2027-12-14 00:00:00,52560,2028-01-05 15:40:00,55822,Pitch failure - defect fan on pitch motor,Pitch System,,curated,Explicit pitch motor cooling fan defect.,,False
C,33,anomaly,2024-08-24 13:00:00,52848,2024-09-13 13:00:00,55728,P20_Blade3_Grease Collector missing,Pitch System,,curated,Grease collector on blade 3 = pitch bearing lubrication hardware (taxonomy: 'pitch bearing lubrication').,,False
C,11,anomaly,2022-10-16 12:30:00,52416,2022-11-07 10:30:00,55572,P20_DGUV-v3 RCD 28F1 NC310 defective + 0 : P20_Blades_Cabinet Caps missing,Electrical Safety System,Pitch System,curated,"DGUV-V3 is the German electrical-safety testing regulation; RCD = residual current device, matches taxonomy verbatim -> primary (safety-critical). Blade cabinet caps missing (housing, in the blade/pitch cabinet) -> minor secondary.",,False
C,44,anomaly,2016-08-03 14:00:00,52704,2016-10-08 02:20:00,62138,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,Cooling System,,curated,"Explicit 'water cooling system' valve — a maintenance-induced misconfiguration rather than a component wear-out failure, but still a Cooling System event for occurrence-counting purposes.",,False
C,49,anomaly,2020-04-01 00:00:00,51840,2020-04-05 03:30:00,52437,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,Gearbox,,curated,Gear oil pump coupling -> Gearbox lubrication circuit.,,False
C,31,anomaly,2027-01-17 00:00:00,52848,2027-01-24 02:00:00,53868,Communication and Pitchfailure - slip ring and Beckhoff card,Pitch System,SCADA/Communication,curated,Slip ring is explicitly named in the Pitch System taxonomy entry; Beckhoff card is commonly the pitch control card in this fleet -> primary. Explicit 'Communication' mention -> secondary.,,False
C,67,anomaly,2027-02-01 00:00:00,52704,2027-03-31 00:00:00,61056,Turbine has some issues with overpressure on the main transformer,Transformer,,curated,"'Overpressure' matches the Transformer illustrative failure mode in Section 1.6 verbatim ('overpressure, pressure relief activation').",,False
C,9,anomaly,2017-08-05 07:30:00,52992,2017-08-26 09:30:00,56028,PENDING19_PREV_YAW_Grease pump defective,Yaw System,,curated,Explicit 'YAW'; grease pump = yaw grease lubrication system (taxonomy: 'yaw slip ring/grease system').,,False
C,91,anomaly,2022-10-11 09:30:00,52704,2022-10-31 12:00:00,55599,23020 : Axis 3 not ready-to-operate,Pitch System,,curated,'Axis 3' = pitch axis 3 (one axis per blade).,,False
C,5,anomaly,2020-02-03 00:00:00,52272,2020-02-06 15:00:00,52794,WEC in failure - current measurement own consumption,Electrical Safety System,SCADA/Communication,curated,Resolved via manual review. Assigned to Electrical Safety System (switchgear/aux power) with SCADA as secondary for the measurement fault.,,False
C,90,anomaly,2026-08-08 15:00:00,52848,2026-08-20 17:30:00,54591,COMMUNICATION FAULT BK1120 IN NC300 A2,SCADA/Communication,,curated,"Same fault signature as 'Communication fault BK1120 in NC300' above, different asset/casing — counted as a distinct incident for Occurrence purposes since it is a separate log line.",,False
C,70,anomaly,2022-11-09 14:00:00,52560,2022-11-29 17:30:00,55461,"21002 : Axis 1 DC-link voltage low, batt",Pitch System,,curated,"Pitch axis 1, DC-link voltage and battery -> pitch backup battery system (taxonomy: 'backup batteries').",,False
C,35,anomaly,2024-09-23 00:00:00,51696,2024-09-29 09:00:00,52614,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",Converter,,curated,German: 'Umrichter' = converter; 'Schwingungen ... Drehmomenten' = torque vibrations. Converter torque-vibration protection trip.,,False
C,16,anomaly,2027-12-22 00:00:00,51264,2028-01-05 23:50:00,53423,WEC in failure - hub battery charger defect,Pitch System,,curated,Hub battery charger = pitch backup battery system (batteries are hub-mounted on this fleet).,,False
C,76,anomaly,2020-01-09 00:00:00,51552,2020-01-10 16:50:00,51797,WEC in failure with pitch battery issues - rewiring,Pitch System,,curated,Explicit 'pitch battery'.,,False
C,8,normal,2024-08-21 17:00:00,52560,2024-09-04 06:30:00,54513,,Unclassified / No Description,,no_description,,,False
C,85,normal,2029-01-10 13:10:00,50832,2029-01-20 13:10:00,52272,,Unclassified / No Description,,no_description,,,False
C,6,normal,2025-11-30 22:50:00,52560,2025-12-14 22:50:00,54576,,Unclassified / No Description,,no_description,,,False
C,62,normal,2028-11-04 11:00:00,52416,2028-11-11 14:50:00,53447,,Unclassified / No Description,,no_description,,,False
C,36,normal,2016-08-16 19:50:00,52704,2016-08-29 21:00:00,54439,,Unclassified / No Description,,no_description,,,False
C,56,normal,2026-07-27 05:50:00,51120,2026-08-10 04:20:00,53127,,Unclassified / No Description,,no_description,,,False
C,94,normal,2020-06-12 10:40:00,52416,2020-06-22 10:40:00,53856,,Unclassified / No Description,,no_description,,,False
C,54,normal,2023-02-02 09:20:00,52992,2023-02-13 09:20:00,54576,,Unclassified / No Description,,no_description,,,False
C,43,normal,2024-08-15 03:10:00,52992,2024-08-28 03:10:00,54864,,Unclassified / No Description,,no_description,,,False
C,50,normal,2027-11-04 00:00:00,52128,2027-11-18 00:00:00,54144,,Unclassified / No Description,,no_description,,,False
C,64,normal,2027-09-22 00:30:00,52560,2027-10-02 00:30:00,54000,,Unclassified / No Description,,no_description,,,False
C,46,normal,2024-05-09 06:50:00,52560,2024-05-23 03:30:00,54556,,Unclassified / No Description,,no_description,,,False
C,65,normal,2019-11-06 04:20:00,52992,2019-11-20 11:50:00,55053,,Unclassified / No Description,,no_description,,,False
C,61,normal,2017-05-08 00:00:00,52992,2017-05-22 00:00:00,55008,,Unclassified / No Description,,no_description,,,False
C,93,normal,2023-08-01 15:50:00,52704,2023-08-23 15:50:00,55872,,Unclassified / No Description,,no_description,,,False
C,75,normal,2022-05-03 11:10:00,52992,2022-05-22 11:10:00,55728,,Unclassified / No Description,,no_description,,,False
C,41,normal,2028-01-15 05:00:00,51552,2028-02-11 18:30:00,55521,,Unclassified / No Description,,no_description,,,False
C,58,normal,2015-10-16 08:40:00,52992,2015-10-26 08:40:00,54432,,Unclassified / No Description,,no_description,,,False
C,48,normal,2020-04-25 12:00:00,52848,2020-05-08 12:00:00,54720,,Unclassified / No Description,,no_description,,,False
C,88,normal,2025-10-01 00:00:00,52704,2025-10-15 00:00:00,54720,,Unclassified / No Description,,no_description,,,False
C,57,normal,2029-04-27 05:40:00,52992,2029-05-09 05:40:00,54720,,Unclassified / No Description,,no_description,,,False
C,32,normal,2025-09-27 05:20:00,52560,2025-10-10 05:20:00,54432,,Unclassified / No Description,,no_description,,,False
C,89,normal,2025-03-05 01:10:00,51840,2025-03-18 01:10:00,53712,,Unclassified / No Description,,no_description,,,False
C,59,normal,2020-02-17 00:00:00,52128,2020-03-02 00:00:00,54144,,Unclassified / No Description,,no_description,,,False
C,63,normal,2016-07-06 23:10:00,52704,2016-07-16 23:10:00,54144,,Unclassified / No Description,,no_description,,,False
C,80,normal,2018-10-07 02:10:00,52560,2018-10-21 10:10:00,54624,,Unclassified / No Description,,no_description,,,False
C,37,normal,2029-02-26 18:00:00,51552,2029-03-10 18:00:00,53280,,Unclassified / No Description,,no_description,,,False
C,29,normal,2028-03-07 02:00:00,52704,2028-03-21 02:00:00,54720,,Unclassified / No Description,,no_description,,,False
C,1,normal,2026-10-01 00:00:00,51552,2026-10-12 00:00:00,53136,,Unclassified / No Description,,no_description,,,False
C,20,normal,2027-07-13 01:10:00,51696,2027-07-23 01:10:00,53136,,Unclassified / No Description,,no_description,,,False
C,60,normal,2025-02-16 05:30:00,52416,2025-02-27 05:30:00,54000,,Unclassified / No Description,,no_description,,,False
